name,playerID,gameID,season,week,team,teamID,opponent,opponentID,fieldGoalsMade1_19-fieldGoalAttempts1_19,fieldGoalsMade20_29-fieldGoalAttempts20_29,fieldGoalsMade30_39-fieldGoalAttempts30_39,fieldGoalsMade40_49-fieldGoalAttempts40_49,fieldGoalsMade50-fieldGoalAttempts50,longFieldGoalMade,fieldGoalPct,fieldGoalsMade-fieldGoalAttempts,fieldGoalsMadeYardsAverage,extraPointsMade-extraPointAttempts,totalKickingPoints
Aldrick Rosas,3068939,400951682,2017,16,NYG,19,ARI,22,0-0,0-0,0-1,0-0,0-0,0,0.0,0-1,-,0-0,0
Taylor Russolino,4611153,401220213,2020,15,DEN,7,BUF,2,0-0,0-0,0-0,0-0,0-1,0,0.0,0-1,-,1-3,1
Jason Sanders,3124679,401437821,2022,9,MIA,15,CHI,3,0-0,0-1,0-0,0-0,0-0,0,0.0,0-1,-,5-5,5
Jason Sanders,3124679,401437769,2022,5,MIA,15,NYJ,20,0-0,0-0,0-0,1-1,0-1,46,50.0,1-2,46,2-2,5
Jason Sanders,3124679,401437883,2022,13,MIA,15,SF,25,0-0,0-0,0-0,1-1,0-0,43,100.0,1-1,43,2-2,5
Jason Sanders,3124679,401437630,2022,1,MIA,15,NE,17,0-0,0-0,0-0,2-2,0-0,49,100.0,2-2,46,2-2,8
Jason Sanders,3124679,401437896,2022,14,MIA,15,LAC,24,0-0,0-0,0-0,0-0,1-1,55,100.0,1-1,55,2-2,5
Jason Sanders,3124679,401437863,2022,12,MIA,15,HOU,34,0-0,1-1,1-1,1-1,0-0,45,100.0,3-3,34,3-3,12
Jason Sanders,3124679,401437633,2022,2,MIA,15,BAL,33,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,6-6,6
Jason Sanders,3124679,401437808,2022,8,MIA,15,DET,8,0-0,0-0,0-0,1-1,0-0,45,100.0,1-1,45,4-4,7
Jason Sanders,3124679,401437836,2022,10,MIA,15,CLE,5,0-0,0-0,2-2,0-0,0-0,39,100.0,2-2,36,3-5,9
Jason Sanders,3124679,401437803,2022,7,MIA,15,PIT,23,0-0,1-1,0-0,2-2,0-0,47,100.0,3-3,38,1-1,10
Jason Sanders,3124679,401437748,2022,4,MIA,15,CIN,4,0-0,2-2,0-0,1-1,0-1,48,75.0,3-4,30,0-1,9
Jason Sanders,3124679,401437738,2022,3,MIA,15,BUF,2,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-3,3
Jason Sanders,3124679,401437782,2022,6,MIA,15,MIN,16,0-0,0-0,0-0,1-1,0-1,44,50.0,1-2,44,1-1,4
Jason Sanders,3124679,401326465,2021,10,MIA,15,BAL,33,0-0,2-2,1-1,0-0,0-0,31,100.0,3-3,27,1-1,10
Jason Sanders,3124679,401326541,2021,15,MIA,15,NYJ,20,0-0,1-1,0-0,0-0,0-0,24,100.0,1-1,24,4-4,7
Jason Sanders,3124679,401326486,2021,11,MIA,15,NYJ,20,0-0,1-1,0-1,0-0,0-0,24,50.0,1-2,24,3-3,6
Jason Sanders,3124679,401326577,2021,17,MIA,15,TEN,10,0-0,0-0,1-1,0-0,0-1,39,50.0,1-2,39,0-0,3
Jason Sanders,3124679,401326313,2021,1,MIA,15,NE,17,0-0,0-0,0-0,1-1,0-0,48,100.0,1-1,48,2-2,5
Jason Sanders,3124679,401326568,2021,16,MIA,15,NO,18,0-0,0-0,1-1,1-1,0-1,48,67.0,2-3,41,2-2,8
Jason Sanders,3124679,401326501,2021,12,MIA,15,CAR,29,0-0,0-0,1-1,1-1,0-0,46,100.0,2-2,40,3-4,9
Jason Sanders,3124679,401326457,2021,9,MIA,15,HOU,34,0-0,0-0,0-0,1-1,0-0,42,100.0,1-1,42,2-2,5
Jason Sanders,3124679,401326325,2021,6,MIA,15,JAX,30,0-0,1-1,1-1,0-0,0-1,33,67.0,2-3,28,2-2,8
Jason Sanders,3124679,401326402,2021,5,MIA,15,TB,27,0-0,1-1,0-0,0-0,0-0,23,100.0,1-1,23,2-2,5
Jason Sanders,3124679,401326438,2021,8,MIA,15,BUF,2,0-0,0-0,0-1,0-0,1-1,51,50.0,1-2,51,0-0,3
Jason Sanders,3124679,401326426,2021,7,MIA,15,ATL,1,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,4-4,4
Jason Sanders,3124679,401326516,2021,13,MIA,15,NYG,19,0-0,0-0,0-0,2-2,0-1,48,67.0,2-3,48,2-2,8
Jason Sanders,3124679,401326384,2021,4,MIA,15,IND,11,0-0,0-0,1-1,0-0,0-0,38,100.0,1-1,38,2-2,5
Jason Sanders,3124679,401326592,2021,18,MIA,15,NE,17,0-0,0-0,1-1,1-1,0-0,49,100.0,2-2,40,3-3,9
Jason Sanders,3124679,401220114,2020,17,MIA,15,BUF,2,0-0,0-0,1-1,1-1,0-0,49,100.0,2-2,40,2-2,8
Jason Sanders,3124679,401220125,2020,14,MIA,15,KC,12,0-0,0-0,1-1,1-2,0-0,44,66.7,2-3,38,3-3,9
Jason Sanders,3124679,401220124,2020,6,MIA,15,NYJ,20,0-0,1-1,0-0,0-0,0-0,24,100.0,1-1,24,3-3,6
Jason Sanders,3124679,401220201,2020,3,MIA,15,JAX,30,0-0,0-0,1-1,0-0,0-0,30,100.0,1-1,30,4-4,7
Jason Sanders,3124679,401220127,2020,8,MIA,15,LAR,14,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,4-4,4
Jason Sanders,3124679,401220358,2020,5,MIA,15,SF,25,0-0,2-2,1-1,1-1,1-1,50,100.0,5-5,37,4-4,19
Jason Sanders,3124679,401220214,2020,11,MIA,15,DEN,7,0-0,0-0,0-0,1-1,1-1,53,100.0,2-2,47,1-1,7
Jason Sanders,3124679,401220126,2020,10,MIA,15,LAC,24,0-0,0-0,1-1,1-2,1-1,50,75.0,3-4,45,2-2,11
Jason Sanders,3124679,401220129,2020,13,MIA,15,CIN,4,1-1,2-2,0-0,1-1,0-0,48,100.0,4-4,29,1-1,13
Jason Sanders,3124679,401220139,2020,12,MIA,15,NYJ,20,0-0,0-0,0-0,0-0,2-2,54,100.0,2-2,52,2-2,8
Jason Sanders,3124679,401220128,2020,4,MIA,15,SEA,26,0-0,2-2,0-0,3-3,0-0,45,100.0,5-5,37,0-0,15
Jason Sanders,3124679,401220230,2020,16,MIA,15,LV,13,0-0,1-1,2-2,1-1,0-0,44,100.0,4-4,36,2-2,14
Jason Sanders,3124679,401220131,2020,1,MIA,15,NE,17,0-0,0-0,0-0,1-1,0-0,46,100.0,1-1,46,0-0,3
Jason Sanders,3124679,401220123,2020,15,MIA,15,NE,17,0-0,0-0,0-0,0-0,0-1,0,0.0,0-1,-,2-2,2
Jason Sanders,3124679,401220342,2020,9,MIA,15,ARI,22,0-0,0-0,0-0,0-0,2-2,56,100.0,2-2,53,4-4,10
Jason Sanders,3124679,401220122,2020,2,MIA,15,BUF,2,0-0,0-0,0-0,1-1,1-1,52,100.0,2-2,48,2-2,8
Jason Sanders,3124679,401128060,2019,15,MIA,15,NYG,19,0-0,1-1,0-0,1-2,0-0,47,66.7,2-3,36,2-2,8
Jason Sanders,3124679,401128074,2019,8,MIA,15,PIT,23,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Jason Sanders,3124679,401128077,2019,11,MIA,15,BUF,2,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Jason Sanders,3124679,401128121,2019,6,MIA,15,WSH,28,0-0,0-0,1-1,0-0,0-0,39,100.0,1-1,39,1-1,4
Jason Sanders,3124679,401128055,2019,4,MIA,15,LAC,24,0-0,0-0,1-1,0-0,0-2,30,33.3,1-3,30,1-1,4
Jason Sanders,3124679,401127919,2019,12,MIA,15,CLE,5,0-0,0-0,1-1,0-0,0-0,36,100.0,1-1,36,3-3,6
Jason Sanders,3124679,401127909,2019,17,MIA,15,NE,17,0-0,1-1,1-1,0-0,0-0,32,100.0,2-2,30,3-3,9
Jason Sanders,3124679,401128080,2019,9,MIA,15,NYJ,20,0-0,1-1,0-0,0-1,0-0,26,50.0,1-2,26,3-3,6
Jason Sanders,3124679,401128070,2019,13,MIA,15,PHI,21,0-0,0-0,0-0,0-0,1-1,51,100.0,1-1,51,2-3,5
Jason Sanders,3124679,401127969,2019,14,MIA,15,NYJ,20,0-0,3-3,2-3,1-1,1-1,53,87.5,7-8,35,0-0,21
Jason Sanders,3124679,401030787,2018,3,MIA,15,OAK,13,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,4-4,4
Jason Sanders,3124679,401030722,2018,17,MIA,15,BUF,2,0-0,1-1,0-0,0-0,0-0,29,100.0,1-1,29,2-2,5
Jason Sanders,3124679,401030700,2018,2,MIA,15,NYJ,20,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-3,2
Jason Sanders,3124679,401030785,2018,5,MIA,15,CIN,4,0-0,0-0,0-0,1-1,0-0,42,100.0,1-1,42,2-2,5
Jason Sanders,3124679,401030830,2018,7,MIA,15,DET,8,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,3-3,3
Jason Sanders,3124679,401030841,2018,4,MIA,15,NE,17,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,1-1,1
Jason Sanders,3124679,401030761,2018,14,MIA,15,NE,17,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,4-4,4
Jason Sanders,3124679,401030771,2018,6,MIA,15,CHI,3,0-0,1-1,0-0,1-1,1-1,50,100.0,3-3,41,2-2,11
Jason Sanders,3124679,401030918,2018,15,MIA,15,MIN,16,0-0,1-1,0-0,0-0,0-0,25,100.0,1-1,25,2-2,5
Jason Sanders,3124679,401030906,2018,12,MIA,15,IND,11,0-0,1-1,0-0,0-0,0-0,29,100.0,1-1,29,3-3,6
Jason Sanders,3124679,401030716,2018,1,MIA,15,TEN,10,0-0,1-1,1-1,0-0,0-0,30,100.0,2-2,28,3-3,9
Jason Sanders,3124679,401030816,2018,9,MIA,15,NYJ,20,0-0,1-1,0-0,1-1,0-0,43,100.0,2-2,35,1-1,7
Jason Sanders,3124679,401030703,2018,8,MIA,15,HOU,34,0-0,0-0,1-1,2-2,0-0,46,100.0,3-3,41,2-2,11
Jason Sanders,3124679,401030866,2018,16,MIA,15,JAX,30,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,1-1,1
Jason Sanders,3124679,401030954,2018,13,MIA,15,BUF,2,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-3,3
Jason Sanders,3124679,401030756,2018,10,MIA,15,GB,9,0-0,1-1,1-1,2-2,0-0,47,100.0,4-4,37,0-0,12
Cairo Santos,17427,401437876,2022,13,CHI,3,GB,9,0-0,1-1,0-0,1-2,0-0,40,67.0,2-3,34,1-2,7
Cairo Santos,17427,401437821,2022,9,CHI,3,MIA,15,0-0,0-0,1-1,0-0,0-0,32,100.0,1-1,32,3-3,6
Cairo Santos,17427,401437777,2022,6,CHI,3,WSH,28,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,1-1,1
Cairo Santos,17427,401437766,2022,5,CHI,3,MIN,16,0-0,0-0,0-0,1-1,2-2,51,100.0,3-3,48,1-1,10
Cairo Santos,17427,401437845,2022,11,CHI,3,ATL,1,0-0,0-0,0-0,1-1,0-1,41,50.0,1-2,41,3-3,6
Cairo Santos,17427,401437834,2022,10,CHI,3,DET,8,0-0,0-0,1-1,0-0,0-0,33,100.0,1-1,33,3-4,6
Cairo Santos,17427,401437647,2022,1,CHI,3,SF,25,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,1-3,1
Cairo Santos,17427,401437864,2022,12,CHI,3,NYJ,20,0-0,1-1,0-0,0-0,0-0,22,100.0,1-1,22,1-1,4
Cairo Santos,17427,401437807,2022,8,CHI,3,DAL,6,0-0,0-0,1-1,0-0,0-0,36,100.0,1-1,36,2-2,5
Cairo Santos,17427,401437737,2022,3,CHI,3,HOU,34,0-0,0-0,1-1,1-1,1-1,50,100.0,3-3,42,2-2,11
Cairo Santos,17427,401437804,2022,7,CHI,3,NE,17,0-0,1-1,1-1,1-1,1-1,50,100.0,4-4,38,3-3,15
Cairo Santos,17427,401437606,2022,2,CHI,3,GB,9,0-0,0-0,0-0,1-1,0-0,44,100.0,1-1,44,1-1,4
Cairo Santos,17427,401326564,2021,16,CHI,3,SEA,26,0-0,0-0,1-1,0-0,0-0,35,100.0,1-1,35,2-2,5
Cairo Santos,17427,401326552,2021,15,CHI,3,MIN,16,0-0,0-0,1-1,0-1,0-0,34,50.0,1-2,34,0-0,3
Cairo Santos,17427,401326464,2021,9,CHI,3,PIT,23,0-0,1-1,1-1,0-0,0-1,30,67.0,2-3,26,3-3,9
Cairo Santos,17427,401326365,2021,3,CHI,3,CLE,5,0-0,1-1,0-0,1-1,0-0,47,100.0,2-2,34,0-0,6
Cairo Santos,17427,401326511,2021,13,CHI,3,ARI,22,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Cairo Santos,17427,401326433,2021,7,CHI,3,TB,27,0-0,1-1,0-0,0-0,0-0,28,100.0,1-1,28,0-0,3
Cairo Santos,17427,401326323,2021,1,CHI,3,LAR,14,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Cairo Santos,17427,401326535,2021,14,CHI,3,GB,9,0-0,1-1,0-0,2-2,0-0,44,100.0,3-3,37,3-3,12
Cairo Santos,17427,401326413,2021,6,CHI,3,GB,9,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Cairo Santos,17427,401326405,2021,5,CHI,3,LV,13,0-0,0-0,0-0,2-2,0-0,46,100.0,2-2,46,2-2,8
Cairo Santos,17427,401326129,2021,2,CHI,3,CIN,4,0-0,2-2,0-0,0-0,0-0,28,100.0,2-2,25,2-2,8
Cairo Santos,17427,401326439,2021,8,CHI,3,SF,25,0-0,1-1,1-1,1-1,0-0,40,100.0,3-3,35,1-2,10
Cairo Santos,17427,401326382,2021,4,CHI,3,DET,8,0-0,0-0,1-1,0-0,0-0,33,100.0,1-1,33,3-3,6
Cairo Santos,17427,401326593,2021,18,CHI,3,MIN,16,0-0,0-0,0-0,3-3,0-0,46,100.0,3-3,44,0-0,9
Cairo Santos,17427,401326494,2021,12,CHI,3,DET,8,0-0,2-2,0-0,1-1,0-1,43,75.0,3-4,33,1-1,10
Cairo Santos,17427,401326570,2021,17,CHI,3,NYG,19,0-0,1-1,0-0,1-1,0-0,44,100.0,2-2,32,3-3,9
Cairo Santos,17427,401326482,2021,11,CHI,3,BAL,33,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,1-1,1
Cairo Santos,17427,401220279,2020,14,CHI,3,HOU,34,0-0,0-0,2-2,0-0,0-0,39,100.0,2-2,36,4-4,10
Cairo Santos,17427,401220278,2020,5,CHI,3,TB,27,0-0,0-0,1-1,1-1,0-0,47,100.0,2-2,42,2-2,8
Cairo Santos,17427,401220207,2020,9,CHI,3,TEN,10,0-0,1-1,0-0,0-0,0-0,22,100.0,1-1,22,2-2,5
Cairo Santos,17427,401220317,2020,6,CHI,3,CAR,29,0-0,0-0,2-2,0-0,1-1,55,100.0,3-3,39,2-2,11
Cairo Santos,17427,401220282,2020,1,CHI,3,DET,8,0-0,1-1,1-1,0-0,0-0,35,100.0,2-2,32,3-3,9
Cairo Santos,17427,401220281,2020,2,CHI,3,NYG,19,0-0,0-0,1-1,0-0,0-1,34,50.0,1-2,34,2-2,5
Cairo Santos,17427,401220275,2020,17,CHI,3,GB,9,0-0,2-2,1-1,0-0,0-0,30,100.0,3-3,26,1-1,10
Cairo Santos,17427,401220395,2020,1,CHI,3,NO,18,0-0,0-0,1-1,0-0,0-0,36,100.0,1-1,36,0-0,3
Cairo Santos,17427,401220274,2020,13,CHI,3,DET,8,0-0,0-0,0-0,1-1,0-0,45,100.0,1-1,45,3-4,6
Cairo Santos,17427,401220351,2020,7,CHI,3,LAR,14,0-0,0-0,0-0,1-1,0-0,42,100.0,1-1,42,1-1,4
Cairo Santos,17427,401220277,2020,8,CHI,3,NO,18,0-0,1-1,0-0,1-1,1-1,51,100.0,3-3,41,2-2,11
Cairo Santos,17427,401220199,2020,16,CHI,3,JAX,30,0-0,1-1,0-0,1-1,0-0,40,100.0,2-2,30,5-5,11
Cairo Santos,17427,401220298,2020,15,CHI,3,MIN,16,0-0,0-0,1-1,3-3,0-0,48,100.0,4-4,42,3-3,15
Cairo Santos,17427,401220276,2020,10,CHI,3,MIN,16,0-0,1-1,0-0,1-1,0-0,42,100.0,2-2,32,1-1,7
Cairo Santos,17427,401220280,2020,4,CHI,3,IND,11,0-0,1-1,0-0,0-0,0-0,27,100.0,1-1,27,0-0,3
Cairo Santos,17427,401220290,2020,12,CHI,3,GB,9,0-0,1-1,0-0,0-0,0-0,27,100.0,1-1,27,2-2,5
Cairo Santos,17427,401220309,2020,3,CHI,3,ATL,1,0-0,0-0,1-1,0-1,0-0,35,50.0,1-2,35,3-3,6
Cairo Santos,17427,401127859,2019,3,TEN,10,JAX,30,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,1-1,1
Cairo Santos,17427,401127928,2019,1,TEN,10,CLE,5,0-0,0-0,1-1,0-0,1-1,53,100.0,2-2,45,5-5,11
Cairo Santos,17427,401128014,2019,5,TEN,10,BUF,2,0-0,0-0,0-2,0-0,0-2,0,0.0,0-4,-,1-1,1
Cairo Santos,17427,401128114,2019,2,TEN,10,IND,11,0-0,0-0,0-0,1-2,0-0,49,50.0,1-2,49,2-2,5
Cairo Santos,17427,401128016,2019,4,TEN,10,ATL,1,0-0,0-0,0-0,1-1,0-0,45,100.0,1-1,45,3-3,6
Cairo Santos,17427,401030820,2018,17,TB,27,ATL,1,0-0,0-0,1-1,1-1,0-0,45,100.0,2-2,40,2-2,8
Cairo Santos,17427,401030875,2018,16,TB,27,DAL,6,0-0,0-0,1-1,1-1,0-1,45,66.7,2-3,41,2-2,8
Cairo Santos,17427,401030952,2018,11,TB,27,NYG,19,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,5-5,5
Cairo Santos,17427,401030898,2018,15,TB,27,BAL,33,0-0,2-2,0-0,0-0,0-0,28,100.0,2-2,24,0-0,6
Cairo Santos,17427,401030773,2018,6,LAR,14,DEN,7,0-0,2-2,1-1,0-1,0-0,39,75.0,3-4,29,2-2,11
Cairo Santos,17427,401030808,2018,5,LAR,14,SEA,26,1-1,0-0,1-1,0-0,0-0,39,100.0,2-2,29,3-4,9
Cairo Santos,17427,401030758,2018,14,TB,27,NO,18,0-0,0-0,0-0,0-2,0-0,0,0.0,0-2,-,2-2,2
Cairo Santos,17427,401030968,2018,13,TB,27,CAR,29,0-0,0-0,1-1,0-0,0-0,35,100.0,1-1,35,3-3,6
Cairo Santos,17427,401030902,2018,12,TB,27,SF,25,0-0,0-0,1-1,1-1,0-0,41,100.0,2-2,40,3-3,9
Cairo Santos,17427,400951610,2017,12,CHI,3,PHI,21,0-0,0-0,1-1,0-0,0-1,38,50.0,1-2,38,0-0,3
Cairo Santos,17427,400951566,2017,1,KC,12,NE,17,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,6-6,6
Cairo Santos,17427,400951634,2017,3,KC,12,LAC,24,0-0,0-0,1-1,0-0,0-0,34,100.0,1-1,34,3-3,6
Cairo Santos,17427,400951636,2017,2,KC,12,PHI,21,0-0,0-0,2-2,0-0,0-0,39,100.0,2-2,36,3-3,9
Cairo Santos,17427,400951707,2017,13,CHI,3,SF,25,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Cairo Santos,17427,400874428,2016,14,KC,12,OAK,13,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-3,3
Cairo Santos,17427,400874549,2016,2,KC,12,HOU,34,0-0,0-0,2-2,1-1,1-1,54,100.0,4-4,40,0-0,12
Cairo Santos,17427,400874715,2016,13,KC,12,ATL,1,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-4,3
Cairo Santos,17427,400874649,2016,11,KC,12,TB,27,0-0,1-1,0-0,0-0,0-0,22,100.0,1-1,22,2-2,5
Cairo Santos,17427,400874585,2016,16,KC,12,DEN,7,0-0,1-1,1-2,0-0,0-0,39,66.7,2-3,33,3-4,9
Cairo Santos,17427,400874696,2016,17,KC,12,SD,24,0-0,1-1,2-2,0-0,0-0,37,100.0,3-3,32,4-4,13
Cairo Santos,17427,400874686,2016,15,KC,12,TEN,10,0-0,0-0,1-1,0-0,0-0,34,100.0,1-1,34,2-2,5
Cairo Santos,17427,400874675,2016,4,KC,12,PIT,23,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,2-2,2
Cairo Santos,17427,400874676,2016,12,KC,12,DEN,7,0-0,0-0,2-2,0-0,0-0,37,100.0,2-2,36,2-2,8
Cairo Santos,17427,400874731,2016,6,KC,12,OAK,13,0-0,1-1,0-1,1-1,0-0,44,66.7,2-3,33,2-3,8
Cairo Santos,17427,400874600,2016,9,KC,12,JAX,30,0-0,2-2,1-1,0-0,1-1,51,100.0,4-4,34,1-1,13
Cairo Santos,17427,400874557,2016,8,KC,12,IND,11,0-0,1-2,1-1,1-1,0-0,44,75.0,3-4,33,3-3,12
Cairo Santos,17427,400874623,2016,3,KC,12,NYJ,20,0-0,1-1,0-0,0-0,0-0,27,100.0,1-1,27,3-3,6
Cairo Santos,17427,400874491,2016,7,KC,12,NO,18,0-0,0-0,1-1,1-1,0-0,41,100.0,2-2,40,3-3,9
Cairo Santos,17427,400874580,2016,10,KC,12,CAR,29,0-0,0-0,3-3,1-1,0-0,47,100.0,4-4,38,0-0,12
Cairo Santos,17427,400874570,2016,1,KC,12,SD,24,0-0,0-0,1-1,1-1,0-0,47,100.0,2-2,40,3-3,9
Cairo Santos,17427,400927748,2016,2,KC,12,PIT,23,0-0,0-0,0-0,1-1,0-0,48,100.0,1-1,48,1-1,4
Cairo Santos,17427,400791504,2015,12,KC,12,BUF,2,0-0,0-0,2-2,1-1,0-1,49,75.0,3-4,41,3-3,12
Cairo Santos,17427,400791625,2015,6,KC,12,MIN,16,0-0,0-0,0-0,1-1,0-0,48,100.0,1-1,48,1-1,4
Cairo Santos,17427,400820432,2015,2,KC,12,NE,17,0-0,0-0,2-2,0-0,0-0,34,100.0,2-2,33,2-2,8
Cairo Santos,17427,400791648,2015,17,KC,12,OAK,13,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-3,3
Cairo Santos,17427,400791527,2015,7,KC,12,PIT,23,0-0,2-2,1-1,0-0,0-1,30,75.0,3-4,26,2-2,11
Cairo Santos,17427,400791712,2015,4,KC,12,CIN,4,0-0,2-2,1-1,2-2,2-2,51,100.0,7-7,38,0-0,21
Cairo Santos,17427,400791635,2015,3,KC,12,GB,9,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Cairo Santos,17427,400791624,2015,2,KC,12,DEN,7,0-0,0-0,1-1,0-0,0-0,35,100.0,1-1,35,3-3,6
Cairo Santos,17427,400791577,2015,14,KC,12,SD,24,0-0,0-0,0-0,1-2,0-0,40,50.0,1-2,40,1-1,4
Cairo Santos,17427,400791655,2015,13,KC,12,OAK,13,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-3,2
Cairo Santos,17427,400791696,2015,15,KC,12,BAL,33,0-0,0-0,1-1,0-0,1-1,53,100.0,2-2,42,4-4,10
Cairo Santos,17427,400791521,2015,16,KC,12,CLE,5,0-0,0-0,0-0,1-1,0-0,40,100.0,1-1,40,2-2,5
Cairo Santos,17427,400791488,2015,5,KC,12,CHI,3,0-0,0-1,1-1,0-0,0-1,35,33.3,1-3,35,2-2,5
Cairo Santos,17427,400791595,2015,10,KC,12,DEN,7,0-0,0-0,2-2,2-3,1-1,50,83.3,5-6,43,2-2,17
Cairo Santos,17427,400761516,2015,8,KC,12,DET,8,0-0,0-0,1-1,0-0,0-0,33,100.0,1-1,33,6-6,9
Cairo Santos,17427,400820429,2015,1,KC,12,HOU,34,0-0,0-0,1-1,2-2,0-0,49,100.0,3-3,44,3-3,12
Cairo Santos,17427,400791493,2015,1,KC,12,HOU,34,0-0,1-1,0-0,1-1,0-1,48,66.7,2-3,38,3-3,9
Cairo Santos,17427,400791715,2015,11,KC,12,SD,24,0-0,2-2,0-0,0-0,0-0,28,100.0,2-2,26,3-4,9
Cairo Santos,17427,400554429,2014,14,KC,12,ARI,22,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Cairo Santos,17427,400554413,2014,17,KC,12,SD,24,0-0,2-2,1-1,1-1,0-1,43,80.0,4-5,30,1-1,13
Cairo Santos,17427,400554325,2014,4,KC,12,NE,17,0-0,1-1,1-1,0-0,0-0,31,100.0,2-2,26,5-5,11
Cairo Santos,17427,400554348,2014,11,KC,12,SEA,26,0-0,1-1,0-0,0-0,0-0,23,100.0,1-1,23,3-3,6
Cairo Santos,17427,400554227,2014,8,KC,12,STL,14,0-0,1-1,0-0,0-0,1-1,53,100.0,2-2,40,4-4,10
Cairo Santos,17427,400554434,2014,16,KC,12,PIT,23,0-0,2-2,1-1,1-1,0-0,43,100.0,4-4,32,0-0,12
Cairo Santos,17427,400554376,2014,15,KC,12,OAK,13,0-0,0-0,0-0,1-3,0-0,41,33.3,1-3,41,4-4,7
Cairo Santos,17427,400554332,2014,10,KC,12,BUF,2,0-0,0-0,1-1,0-0,0-0,36,100.0,1-1,36,2-2,5
Cairo Santos,17427,400554341,2014,9,KC,12,NYJ,20,1-1,0-0,0-0,0-0,0-0,19,100.0,1-1,19,3-3,6
Cairo Santos,17427,400554297,2014,7,KC,12,SD,24,0-0,1-1,0-0,2-2,0-0,48,100.0,3-3,39,2-2,11
Cairo Santos,17427,400554251,2014,5,KC,12,SF,25,0-0,0-0,0-0,1-1,0-0,42,100.0,1-1,42,2-2,5
Cairo Santos,17427,400554395,2014,13,KC,12,DEN,7,0-0,0-0,1-1,0-0,0-0,39,100.0,1-1,39,1-1,4
Cairo Santos,17427,400554293,2014,12,KC,12,OAK,13,0-0,2-2,0-0,0-0,0-0,25,100.0,2-2,24,2-2,8
Cairo Santos,17427,400554260,2014,1,KC,12,TEN,10,0-0,0-0,1-1,0-1,0-0,35,50.0,1-2,35,1-1,4
Cairo Santos,17427,400554280,2014,3,KC,12,MIA,15,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,4-4,4
Cairo Santos,17427,400554291,2014,2,KC,12,DEN,7,0-0,0-0,0-1,1-1,0-0,45,50.0,1-2,45,2-2,5
Ryan Santoso,3040204,401326366,2021,3,DET,8,BAL,33,0-0,0-0,1-1,0-0,0-0,35,100.0,1-1,35,2-2,5
Ryan Santoso,3040204,401326470,2021,10,DET,8,PIT,23,0-0,1-1,0-0,0-1,0-0,20,50.0,1-2,20,1-2,4
Ryan Santoso,3040204,401326382,2021,4,DET,8,CHI,3,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Ryan Santoso,3040204,401326309,2021,1,CAR,29,NYJ,20,0-0,2-2,0-0,0-0,0-0,29,100.0,2-2,26,1-2,7
Nick Sciba,4362020,401437812,2022,8,PIT,23,PHI,21,0-0,1-1,1-1,0-0,0-0,38,100.0,2-2,34,1-1,7
Austin Seibert,3821683,401437648,2022,1,DET,8,PHI,21,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,5-5,5
Austin Seibert,3821683,401437732,2022,2,DET,8,WSH,28,0-0,0-0,1-1,1-1,0-0,48,100.0,2-2,42,4-4,10
Austin Seibert,3821683,401437739,2022,3,DET,8,MIN,16,0-0,0-0,0-0,1-2,0-1,40,33.0,1-3,40,3-3,6
