team,teamID,gameID,season,week,opponent,opponentID,completions,passingAttempts,passingYards,completionPct,yardsPerPassAttempt,yardsPerCompletion,passingTouchdowns,interceptions,sacks,rushingYards,rushingAttempts,yardsPerRushAttempt,rushingTouchdowns,receivingTouchdowns,fumbles,fumblesRecovered,fieldGoalsMade1_19,fieldGoalsMade20_29,fieldGoalsMade30_39,fieldGoalsMade40_49,fieldGoalsMade50,extraPointsMade,totalKickingPoints
KC,16,311002012,2011,4,KC,12,0,0,0,0,0,0,0,0,0,80.0,23,3.48,0,0,0,0,0,0,0,0,0,0,0,0
KC,20,311211020,2011,14,KC,12,0,0,0,0,0,0,0,0,0,10.0,6,1.67,0,0,0,0,0,0,0,0,0,5,5,5
KC,23,311127012,2011,12,KC,12,0,0,0,0,0,0,0,0,0,5.0,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0
KC,7,311113012,2011,10,KC,12,0,0,0,0,0,0,0,0,0,43.0,9,4.78,1,0,0,0,0,0,1,0,0,2,5,11
KC,7,320101007,2011,17,KC,12,0,0,0,0,0,0,0,0,0,16.0,6,2.67,0,0,1,1,0,0,1,0,0,0,3,3
KC,3,311204003,2011,13,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3
KC,11,311009011,2011,5,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,6
KC,25,261001012,2006,4,KC,12,0,0,0,0,0,0,0,0,0,65.0,14,4.64,0,0,1,1,0,0,0,0,0,0,0,0
KC,26,261029012,2006,8,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
KC,11,270106011,2006,1,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,11,11
KC,16,270923012,2007,3,KC,12,0,0,0,0,0,0,0,0,0,102.0,25,4.08,1,0,1,1,0,0,0,0,0,0,0,6
KC,9,271104012,2007,9,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,15,15
KC,3,270916003,2007,2,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,8,8
KC,20,271230020,2007,17,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,7,7
KC,11,271118011,2007,11,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,7
KC,17,191010012,1999,5,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
DAL,4,401220159,2020,14,DAL,6,27,36,217,75.0,6.0,8.04,1,0,0,20.0,7,2.86,0,1,1,1,0,0,0,0,0,1,1,7
DAL,28,401220266,2020,7,DAL,6,15,25,194,60.0,7.8,12.93,2,0,2,174.0,29,6.0,1,2,0,0,0,0,1,0,0,2,5,23
DAL,25,401220246,2020,15,DAL,6,21,36,219,58.3,6.1,10.43,2,2,2,146.0,34,4.29,1,2,1,1,0,0,1,1,0,3,9,27
DAL,16,401220305,2020,11,DAL,6,22,30,314,73.3,10.5,14.27,3,0,2,125.0,29,4.31,1,3,1,1,0,0,0,0,0,4,4,28
